task,task_type,noise_level,method,primary_metric,primary_mean,primary_std,primary_mean_std,call_rate_mean,delta_vs_2d_positive,n_seeds
HIV,classification,0.0,voi_reliability_penalized_positive_20,AUROC,0.7180177894306536,0.0051786672120914,0.718018 +/- 0.005179,19.978914074855037,-0.013335024879829627,5
HIV,classification,0.0,voi_router_fixed_budget_20,AUROC,0.7180177894306536,0.0051786672120914,0.718018 +/- 0.005179,19.978914074855037,-0.013335024879829627,5
HIV,classification,0.1,all_2d,AUROC,0.7313528143104833,0.0052254395815505,0.731353 +/- 0.005225,0.0,0.0,5
HIV,classification,0.1,all_3d_noisy_aug,AUROC,0.72169831268237,0.0120193243352122,0.721698 +/- 0.012019,100.0,-0.009654501628113321,5
HIV,classification,0.1,voi_positive_threshold_20,AUROC,0.7206227710350855,0.0093344111933769,0.720623 +/- 0.009334,19.978914074855037,-0.010730043275397727,5
HIV,classification,0.1,voi_reliability_penalized_positive_20,AUROC,0.7206227710350855,0.0093344111933769,0.720623 +/- 0.009334,19.978914074855037,-0.010730043275397727,5
HIV,classification,0.1,voi_router_fixed_budget_20,AUROC,0.7206227710350855,0.0093344111933769,0.720623 +/- 0.009334,19.978914074855037,-0.010730043275397727,5
HIV,classification,0.25,all_2d,AUROC,0.7313528143104833,0.0052254395815505,0.731353 +/- 0.005225,0.0,0.0,5
HIV,classification,0.25,all_3d_noisy_aug,AUROC,0.7368771232432585,0.0078469821182348,0.736877 +/- 0.007847,100.0,0.005524308932775224,5
HIV,classification,0.25,voi_positive_threshold_20,AUROC,0.7275059556532893,0.012310506528786,0.727506 +/- 0.012311,19.978914074855037,-0.003846858657193919,5
HIV,classification,0.25,voi_reliability_penalized_positive_20,AUROC,0.7275059556532893,0.012310506528786,0.727506 +/- 0.012311,19.978914074855037,-0.003846858657193919,5
HIV,classification,0.25,voi_router_fixed_budget_20,AUROC,0.7275059556532893,0.012310506528786,0.727506 +/- 0.012311,19.978914074855037,-0.003846858657193919,5
HIV,classification,0.5,all_2d,AUROC,0.7313528143104833,0.0052254395815505,0.731353 +/- 0.005225,0.0,0.0,5
HIV,classification,0.5,all_3d_noisy_aug,AUROC,0.721382557336378,0.0199142537307068,0.721383 +/- 0.019914,100.0,-0.009970256974105252,5
HIV,classification,0.5,voi_positive_threshold_20,AUROC,0.7069945447625493,0.0056017420196483,0.706995 +/- 0.005602,19.978914074855037,-0.024358269547933964,5
HIV,classification,0.5,voi_reliability_penalized_positive_20,AUROC,0.7101041710717356,0.0065737148005424,0.710104 +/- 0.006574,18.71375856615709,-0.021248643238747644,5
HIV,classification,0.5,voi_router_fixed_budget_20,AUROC,0.7069945447625493,0.0056017420196483,0.706995 +/- 0.005602,19.978914074855037,-0.024358269547933964,5
HIV,classification,1.0,all_2d,AUROC,0.7313528143104833,0.0052254395815505,0.731353 +/- 0.005225,0.0,0.0,5
HIV,classification,1.0,all_3d_noisy_aug,AUROC,0.7159512834609042,0.0195334651481314,0.715951 +/- 0.019533,100.0,-0.01540153084957907,5
HIV,classification,1.0,voi_positive_threshold_20,AUROC,0.6970891304041388,0.0111676134770401,0.697089 +/- 0.011168,19.978914074855037,-0.03426368390634449,5
HIV,classification,1.0,voi_reliability_penalized_positive_20,AUROC,0.7174031942036339,0.009645128926551,0.717403 +/- 0.009645,5.387453874538745,-0.013949620106849414,5
HIV,classification,1.0,voi_router_fixed_budget_20,AUROC,0.6970891304041388,0.0111676134770401,0.697089 +/- 0.011168,19.978914074855037,-0.03426368390634449,5
Lipophilicity,regression,0.0,all_2d,MAE,0.5660385122697215,0.0014256475035634,0.566039 +/- 0.001426,0.0,0.0,5
Lipophilicity,regression,0.0,all_3d_noisy_aug,MAE,0.5746439676919258,0.0013150513868168,0.574644 +/- 0.001315,100.0,-0.008605455422204367,5
Lipophilicity,regression,0.0,voi_positive_threshold_20,MAE,0.5639525697034252,0.0020479581755923,0.563953 +/- 0.002048,20.0,0.0020859425662962394,5
Lipophilicity,regression,0.0,voi_reliability_penalized_positive_20,MAE,0.5639525697034252,0.0020479581755923,0.563953 +/- 0.002048,20.0,0.0020859425662962394,5
