task,feature,budget,spearman_mean,spearman_std,selected_minus_not_selected_mean,selected_mean,not_selected_mean,n_seeds
ESOL,oracle_benefit,20.0,0.00874460254221211,0.15902026273999356,0.01655664796100446,0.016437395442962646,-0.00011925251804181516,5
ESOL,rings,20.0,0.04282823842658865,0.11982785620679073,0.4539701492537314,2.248,1.7940298507462686,5
ESOL,rotatable_bonds,20.0,-0.21426048556260074,0.14010057469711673,-0.7036019900497512,1.576,2.279601990049751,5
ESOL,tpsa,20.0,-0.28885117128552185,0.1904117476124602,-10.444311778338989,19.41331994628906,29.85763172462805,5
ESOL,uncertainty_score,20.0,0.07879263896793778,0.2336074799657768,0.14258130904918626,0.962738821226182,0.8201575121769957,5
FreeSolv,bertz_ct,20.0,0.3517534610253833,0.09258735426121101,162.57793596900203,245.65537388709282,83.07743791809082,5
FreeSolv,flexibility_score,20.0,0.2276789965652463,0.09308805653702612,0.18187097274632236,2.2588709732903225,2.077000000544,5
FreeSolv,fraction_csp3,20.0,-0.5253581500920157,0.11414071189966565,-0.35234112429734193,0.4492242744613078,0.8015653987586498,5
FreeSolv,hba,20.0,0.016892017314659592,0.08595485268762088,0.3057032258064516,1.2129032258064514,0.9071999999999999,5
FreeSolv,hbd,20.0,0.018194110581777438,0.10968688998809935,0.14699354838709677,0.37419354838709673,0.22719999999999999,5
FreeSolv,heavy_atoms,20.0,0.3035739481387414,0.09652446264945881,3.3597419354838713,10.467741935483872,7.108,5
FreeSolv,log_scaffold_train_count,20.0,,,0.0,0.0,0.0,5
FreeSolv,logp,20.0,0.13979546550040314,0.10219397618916565,0.747360804565395,2.5670109086384576,1.8196501040730624,5
FreeSolv,mol_wt,20.0,0.07903502635853861,0.07953015472378157,49.01534651858422,171.9417942846975,122.92644776611328,5
FreeSolv,nearest_train_tanimoto,20.0,-0.3090048017203684,0.054653914986768644,-0.013392353498746571,0.057029636545689,0.07042199004443558,5
FreeSolv,ood_distance,20.0,0.3090048017203684,0.054653914986768644,0.013392353498746679,0.9429703634543112,0.9295780099555644,5
FreeSolv,oracle_benefit,20.0,0.04595974048539144,0.09211464454205433,0.35212619906813103,-0.25926075243180796,-0.611386951499939,5
FreeSolv,rings,20.0,0.29187258295576773,0.027093392505599084,0.6273032258064516,0.9129032258064516,0.28559999999999997,5
FreeSolv,rotatable_bonds,20.0,0.1733218711586843,0.0706192888556326,0.013883870967741973,1.735483870967742,1.7216,5
FreeSolv,tpsa,20.0,0.04395273458137847,0.10456538354407836,7.6719582592748825,21.59977408378355,13.927815824508667,5
FreeSolv,uncertainty_score,20.0,0.01057308477520203,0.11308393538714362,0.14119745729034544,1.0157927403435394,0.8745952830531939,5
HIV,bertz_ct,20.0,-0.09599879159032643,0.03637576915722875,-56.42203747088736,611.4088234209448,667.8308608918321,5
HIV,flexibility_score,20.0,-0.11620486900551559,0.021428178398199004,-0.9448124005840141,5.687387866733509,6.632200267317524,5
HIV,fraction_csp3,20.0,-0.19478508865037586,0.016533254833274322,-0.0808735475422511,0.2555177560189154,0.3363913035611665,5
HIV,hba,20.0,-0.17170377343047866,0.030603493413813868,-0.6897629501392263,3.969920844327177,4.659683794466403,5
HIV,hbd,20.0,-0.14214900637740793,0.01635400612731649,-0.5411425254031654,1.2728232189973616,1.813965744400527,5
HIV,heavy_atoms,20.0,-0.15113311991074838,0.03740772621100908,-2.3659710562085223,20.22796833773087,22.593939393939394,5
HIV,log_scaffold_train_count,20.0,,,0.0,0.0,0.0,5
