task,task_type,router_feature_set,budget,primary_metric,primary_mean,primary_std,primary_mean_std,call_rate_mean,n_seeds
BBBP,classification,ecfp_only,10.0,AUROC,0.9236419508326724,0.0024103725673806,0.923642 +/- 0.002410,9.836065573770492,5
BBBP,classification,ecfp_only,20.0,AUROC,0.925,0.001569664141998,0.925000 +/- 0.001570,20.0,5
BBBP,classification,ecfp_only,40.0,AUROC,0.9255352894528152,0.0026651522467732,0.925535 +/- 0.002665,40.0,5
BBBP,classification,ecfp_only,60.0,AUROC,0.9266058683584456,0.0022301303948014,0.926606 +/- 0.002230,60.0,5
BBBP,classification,ecfp_only,80.0,AUROC,0.9284694686756544,0.0020265246728426,0.928469 +/- 0.002027,80.0,5
BBBP,classification,ecfp_only,100.0,AUROC,0.9298473433782712,0.0023193758079199,0.929847 +/- 0.002319,100.0,5
BBBP,classification,ecfp_uncertainty,0.0,AUROC,0.9246629659000792,0.0037107396726361,0.924663 +/- 0.003711,0.0,5
BBBP,classification,ecfp_uncertainty,5.0,AUROC,0.9239393338620144,0.0040165184067081,0.923939 +/- 0.004017,4.918032786885246,5
BBBP,classification,ecfp_uncertainty,10.0,AUROC,0.9239294210943696,0.0034317938593238,0.923929 +/- 0.003432,9.836065573770492,5
BBBP,classification,ecfp_uncertainty,20.0,AUROC,0.9251288659793816,0.0022448862529168,0.925129 +/- 0.002245,20.0,5
BBBP,classification,ecfp_uncertainty,40.0,AUROC,0.9267545598731166,0.003095482920864,0.926755 +/- 0.003095,40.0,5
BBBP,classification,ecfp_uncertainty,60.0,AUROC,0.9282910388580492,0.002301684025592,0.928291 +/- 0.002302,60.0,5
BBBP,classification,ecfp_uncertainty,80.0,AUROC,0.9287965900079304,0.0025324356857745,0.928797 +/- 0.002532,80.0,5
BBBP,classification,ecfp_uncertainty,100.0,AUROC,0.9298473433782712,0.0023193758079199,0.929847 +/- 0.002319,100.0,5
BBBP,classification,full_ecfp_desc_uncertainty_support,0.0,AUROC,0.9246629659000792,0.0037107396726361,0.924663 +/- 0.003711,0.0,5
BBBP,classification,full_ecfp_desc_uncertainty_support,5.0,AUROC,0.9247224425059478,0.003548909260587,0.924722 +/- 0.003549,4.918032786885246,5
BBBP,classification,full_ecfp_desc_uncertainty_support,10.0,AUROC,0.9237311657414752,0.0017190579776627,0.923731 +/- 0.001719,9.836065573770492,5
BBBP,classification,full_ecfp_desc_uncertainty_support,20.0,AUROC,0.9247224425059476,0.0013440484739633,0.924722 +/- 0.001344,20.0,5
BBBP,classification,full_ecfp_desc_uncertainty_support,40.0,AUROC,0.9265662172878668,0.0018220626901713,0.926566 +/- 0.001822,40.0,5
BBBP,classification,full_ecfp_desc_uncertainty_support,60.0,AUROC,0.928409992069786,0.0031574304602091,0.928410 +/- 0.003157,60.0,5
BBBP,classification,full_ecfp_desc_uncertainty_support,80.0,AUROC,0.9282315622521808,0.0030084882357536,0.928232 +/- 0.003008,80.0,5
BBBP,classification,full_ecfp_desc_uncertainty_support,100.0,AUROC,0.9298473433782712,0.0023193758079199,0.929847 +/- 0.002319,100.0,5
BBBP,classification,oracle,0.0,AUROC,0.9246629659000792,0.0037107396726361,0.924663 +/- 0.003711,0.0,5
BBBP,classification,oracle,5.0,AUROC,0.93550753370341,0.0034523481514351,0.935508 +/- 0.003452,4.918032786885246,5
BBBP,classification,oracle,10.0,AUROC,0.940067406819984,0.0036563737614502,0.940067 +/- 0.003656,9.836065573770492,5
BBBP,classification,oracle,20.0,AUROC,0.94347739888977,0.0032939039533608,0.943477 +/- 0.003294,20.0,5
BBBP,classification,oracle,40.0,AUROC,0.9450436161776368,0.0030353794498286,0.945044 +/- 0.003035,40.0,5
BBBP,classification,oracle,60.0,AUROC,0.9451229183187944,0.0030087168604143,0.945123 +/- 0.003009,60.0,5
BBBP,classification,oracle,80.0,AUROC,0.945003965107058,0.0030719345460093,0.945004 +/- 0.003072,80.0,5
BBBP,classification,oracle,100.0,AUROC,0.9298473433782712,0.0023193758079199,0.929847 +/- 0.002319,100.0,5
