task,task_type,seed,router,BIG,oracle_BIG,oracle_abs_scale,norm_BIG_by_oracle
ESOL,regression,1,R9_oof_safe_guardrail,0.0,0.0597873413114434,0.0597873513114434,0.0
ESOL,regression,1,flexibility,0.0095237255989318,0.0597873413114434,0.0597873513114434,0.15929331857036028
ESOL,regression,1,old_voi,0.0173802222910155,0.0597873413114434,0.0597873513114434,0.2907006567405654
ESOL,regression,1,oracle,0.0597873413114434,0.0597873413114434,0.0597873513114434,0.9999998327405416
ESOL,regression,1,random,0.0079629223807399,0.0597873413114434,0.0597873513114434,0.13318740847473842
ESOL,regression,1,uncertainty,0.0061989732012805,0.0597873413114434,0.0597873513114434,0.10368369003317941
ESOL,regression,2,R7_oof_selected_top,0.0028402929846507,0.0467359255446854,0.0467359355446854,0.06077321340737952
ESOL,regression,2,R8_oof_selected_gated,0.0060582216062393,0.0467359255446854,0.0467359355446854,0.12962662532874478
ESOL,regression,2,R9_oof_safe_guardrail,0.0,0.0467359255446854,0.0467359355446854,0.0
ESOL,regression,2,flexibility,0.0025679463813978,0.0467359255446854,0.0467359355446854,0.05494586449312696
ESOL,regression,2,old_voi,-0.0026368252473049,0.0467359255446854,0.0467359355446854,-0.05641965259866821
ESOL,regression,2,oracle,0.0467359255446854,0.0467359255446854,0.0467359355446854,0.9999997860318857
ESOL,regression,2,random,0.0018513089358568,0.0467359255446854,0.0467359355446854,0.03961210820497467
ESOL,regression,2,uncertainty,-0.0016796712779429,0.0467359255446854,0.0467359355446854,-0.03593960960376891
ESOL,regression,3,R7_oof_selected_top,-0.0072340370097483,0.0559558930699094,0.0559559030699094,-0.12928103404408184
ESOL,regression,3,R8_oof_selected_gated,0.0,0.0559558930699094,0.0559559030699094,0.0
ESOL,regression,3,R9_oof_safe_guardrail,0.0,0.0559558930699094,0.0559559030699094,0.0
ESOL,regression,3,flexibility,0.0062490216912501,0.0559558930699094,0.0559559030699094,0.11167761305617363
ESOL,regression,3,old_voi,-0.0076888282413026,0.0559558930699094,0.0559559030699094,-0.13740870613233497
ESOL,regression,3,oracle,0.0559558930699094,0.0559558930699094,0.0559559030699094,0.9999998212878454
ESOL,regression,3,random,0.0041886564041988,0.0559558930699094,0.0559559030699094,0.07485638108575668
ESOL,regression,3,uncertainty,0.0066640764261147,0.0559558930699094,0.0559559030699094,0.11909514565047462
ESOL,regression,4,R7_oof_selected_top,0.0138565107410171,0.050369343653143,0.050369353653143004,0.2750980454590857
ESOL,regression,4,R8_oof_selected_gated,0.0142221107384122,0.050369343653143,0.050369353653143004,0.28235642721067067
ESOL,regression,4,R9_oof_safe_guardrail,0.0142221107384122,0.050369343653143,0.050369353653143004,0.28235642721067067
ESOL,regression,4,flexibility,0.0022374253375595,0.050369343653143,0.050369353653143004,0.044420370230815666
ESOL,regression,4,old_voi,0.0162408383760792,0.050369343653143,0.050369353653143004,0.32243491722998885
ESOL,regression,4,oracle,0.050369343653143,0.050369343653143,0.050369353653143004,0.9999998014665809
ESOL,regression,4,random,0.0082513450030785,0.050369343653143,0.050369353653143004,0.16381677358616697
ESOL,regression,4,uncertainty,0.0092456406998918,0.050369343653143,0.050369353653143004,0.18355686601737603
FreeSolv,regression,0,R7_oof_selected_top,-0.2530575179266625,-0.0563099973018353,0.0563100073018353,-4.4940061287900885
FreeSolv,regression,0,R8_oof_selected_gated,-0.0314086833771985,-0.0563099973018353,0.0563100073018353,-0.5577815539756608
FreeSolv,regression,0,R9_oof_safe_guardrail,0.0,-0.0563099973018353,0.0563100073018353,0.0
FreeSolv,regression,0,flexibility,-0.3431605532047077,-0.0563099973018353,0.0563100073018353,-6.0941308596407
FreeSolv,regression,0,old_voi,-0.2577973916102677,-0.0563099973018353,0.0563100073018353,-4.578180752639778
FreeSolv,regression,0,oracle,-0.0563099973018353,-0.0563099973018353,0.0563100073018353,-0.9999998224116728
FreeSolv,regression,0,random,-0.2578831274272541,-0.0563099973018353,0.0563100073018353,-4.579703320671546
FreeSolv,regression,0,uncertainty,-0.2169329718167965,-0.0563099973018353,0.0563100073018353,-3.8524763574258323
FreeSolv,regression,1,R7_oof_selected_top,-0.2078169788618878,-0.0484175676458916,0.0484175776458916,-4.292180422196767
FreeSolv,regression,1,R8_oof_selected_gated,-0.0068143934011459,-0.0484175676458916,0.0484175776458916,-0.14074213813387926
FreeSolv,regression,1,R9_oof_safe_guardrail,0.0,-0.0484175676458916,0.0484175776458916,0.0
FreeSolv,regression,1,flexibility,-0.3215748574321083,-0.0484175676458916,0.0484175776458916,-6.641696529801404
FreeSolv,regression,1,old_voi,-0.273807982804683,-0.0484175676458916,0.0484175776458916,-5.655135926196352
FreeSolv,regression,1,oracle,-0.0484175676458916,-0.0484175676458916,0.0484175776458916,-0.9999997934634385
FreeSolv,regression,1,random,-0.2355968182117507,-0.0484175676458916,0.0484175776458916,-4.865935671850819
FreeSolv,regression,1,uncertainty,-0.21238373364852,-0.0484175676458916,0.0484175776458916,-4.386500605251603
FreeSolv,regression,2,R7_oof_selected_top,-0.1826296767798756,-0.0608053684494436,0.0608053784494436,-3.0035118839318193
FreeSolv,regression,2,R8_oof_selected_gated,-0.1126527012319139,-0.0608053684494436,0.0608053784494436,-1.8526765905351374
FreeSolv,regression,2,R9_oof_safe_guardrail,0.0,-0.0608053684494436,0.0608053784494436,0.0
FreeSolv,regression,2,flexibility,-0.2639054401142479,-0.0608053684494436,0.0608053784494436,-4.340166064975174
FreeSolv,regression,2,old_voi,-0.1905125857652765,-0.0608053684494436,0.0608053784494436,-3.133153523971197
FreeSolv,regression,2,oracle,-0.0608053684494436,-0.0608053684494436,0.0608053784494436,-0.999999835540864
FreeSolv,regression,2,random,-0.2215958108542824,-0.0608053684494436,0.0608053784494436,-3.6443455579924957
FreeSolv,regression,2,uncertainty,-0.1801085259517037,-0.0608053684494436,0.0608053784494436,-2.9620492552555078
FreeSolv,regression,3,R7_oof_selected_top,-0.2320477833556822,-0.0345796168905037,0.0345796268905037,-6.710534618851178
FreeSolv,regression,3,R8_oof_selected_gated,0.0134268729021916,-0.0345796168905037,0.0345796268905037,0.38828854182573336
FreeSolv,regression,3,R9_oof_safe_guardrail,0.0,-0.0345796168905037,0.0345796268905037,0.0
FreeSolv,regression,3,flexibility,-0.4279222346238601,-0.0345796168905037,0.0345796268905037,-12.374981256416524
FreeSolv,regression,3,old_voi,-0.2461402846742899,-0.0345796168905037,0.0345796268905037,-7.118072310429851
FreeSolv,regression,3,oracle,-0.0345796168905037,-0.0345796168905037,0.0345796268905037,-0.9999997108123799
FreeSolv,regression,3,random,-0.3644667170353425,-0.0345796168905037,0.0345796268905037,-10.539926245862206
FreeSolv,regression,3,uncertainty,-0.3566881201771589,-0.0345796168905037,0.0345796268905037,-10.31497885464788
FreeSolv,regression,4,R7_oof_selected_top,-0.2872238087997986,-0.0861629578723357,0.0861629678723357,-3.3334948399800584
FreeSolv,regression,4,R8_oof_selected_gated,-0.0479075801777535,-0.0861629578723357,0.0861629678723357,-0.5560112582094002
FreeSolv,regression,4,R9_oof_safe_guardrail,0.0,-0.0861629578723357,0.0861629678723357,0.0
FreeSolv,regression,4,flexibility,-0.3656695825006716,-0.0861629578723357,0.0861629678723357,-4.243929747666885
FreeSolv,regression,4,old_voi,-0.2894183235550537,-0.0861629578723357,0.0861629678723357,-3.3589641896257976
FreeSolv,regression,4,oracle,-0.0861629578723357,-0.0861629578723357,0.0861629678723357,-0.9999998839408595
FreeSolv,regression,4,random,-0.2929876884497127,-0.0861629578723357,0.0861629678723357,-3.400389931830355
FreeSolv,regression,4,uncertainty,-0.2411525372358468,-0.0861629578723357,0.0861629678723357,-2.7987956217240924
HIV,classification,0,R7_oof_selected_top,-0.0050786921526337,0.067191398486066,0.067191408486066,-0.07558543967249783
HIV,classification,0,R8_oof_selected_gated,-0.0010582737768003,0.067191398486066,0.067191408486066,-0.015750135331956353
HIV,classification,0,R9_oof_safe_guardrail,0.0,0.067191398486066,0.067191408486066,0.0
HIV,classification,0,flexibility,-0.0053926854710251,0.067191398486066,0.067191408486066,-0.08025855674901387
HIV,classification,0,old_voi,-0.0072163840374394,0.067191398486066,0.067191408486066,-0.10740039835503548
HIV,classification,0,oracle,0.067191398486066,0.067191398486066,0.067191408486066,0.9999998511714485
HIV,classification,0,random,0.002050823924106,0.067191398486066,0.067191408486066,0.030522115406038778
HIV,classification,0,uncertainty,-0.0102409044135265,0.067191398486066,0.067191408486066,-0.15241389701854866
HIV,classification,1,R7_oof_selected_top,-0.0241189861997998,0.0644750567372887,0.0644750667372887,-0.37408237665073646
HIV,classification,1,R8_oof_selected_gated,-0.0275944094388294,0.0644750567372887,0.0644750667372887,-0.4279857444935434
HIV,classification,1,R9_oof_safe_guardrail,0.0,0.0644750567372887,0.0644750667372887,0.0
HIV,classification,1,flexibility,-0.0092250955018958,0.0644750567372887,0.0644750667372887,-0.14308004580258202
HIV,classification,1,old_voi,-0.0185254295823289,0.0644750567372887,0.0644750667372887,-0.28732703229006273
HIV,classification,1,oracle,0.0644750567372887,0.0644750567372887,0.0644750667372887,0.9999998449012851
HIV,classification,1,random,-0.0052395652725503,0.0644750567372887,0.0644750667372887,-0.08126498408911353
HIV,classification,1,uncertainty,-0.0245661888047813,0.0644750567372887,0.0644750667372887,-0.381018431588123
HIV,classification,2,R7_oof_selected_top,-0.0040020932887892,0.0740597820724264,0.0740597920724264,-0.0540386784353293
