task,task_type,router,budget,primary_value_mean,primary_value_std,primary_value_mean_std,call_rate_mean,call_rate_std,call_rate_mean_std,n_seeds
BBBP,classification,R7_nested_top,100.0,0.9298473433782712,0.00231937580791994,0.929847 +/- 0.002319,100.0,0.0,100.000000 +/- 0.000000,5
BBBP,classification,R8_nested_gated,0.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,R8_nested_gated,5.0,0.9253865979381445,0.003915430287774018,0.925387 +/- 0.003915,4.918032786885246,0.0,4.918033 +/- 0.000000,5
BBBP,classification,R8_nested_gated,10.0,0.9259119746233149,0.004044895089843812,0.925912 +/- 0.004045,9.508196721311474,0.5079322421255634,9.508197 +/- 0.507932,5
BBBP,classification,R8_nested_gated,20.0,0.9255947660586836,0.003862851781909304,0.925595 +/- 0.003863,14.426229508196721,4.782841319032254,14.426230 +/- 4.782841,5
BBBP,classification,R8_nested_gated,40.0,0.9253965107057891,0.0039028367695966228,0.925397 +/- 0.003903,17.770491803278688,10.241690938054427,17.770492 +/- 10.241691,5
BBBP,classification,R8_nested_gated,60.0,0.9253965107057891,0.0039028367695966228,0.925397 +/- 0.003903,17.770491803278688,10.241690938054427,17.770492 +/- 10.241691,5
BBBP,classification,R8_nested_gated,80.0,0.9253965107057891,0.0039028367695966228,0.925397 +/- 0.003903,17.770491803278688,10.241690938054427,17.770492 +/- 10.241691,5
BBBP,classification,R8_nested_gated,100.0,0.9253965107057891,0.0039028367695966228,0.925397 +/- 0.003903,17.770491803278688,10.241690938054427,17.770492 +/- 10.241691,5
BBBP,classification,R9_nested_lcb_guardrail,0.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,R9_nested_lcb_guardrail,5.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,R9_nested_lcb_guardrail,10.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,R9_nested_lcb_guardrail,20.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,R9_nested_lcb_guardrail,40.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,R9_nested_lcb_guardrail,60.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,R9_nested_lcb_guardrail,80.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,R9_nested_lcb_guardrail,100.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,flexibility,0.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,flexibility,5.0,0.9257038065027757,0.004175499660494276,0.925704 +/- 0.004175,4.918032786885246,0.0,4.918033 +/- 0.000000,5
BBBP,classification,flexibility,10.0,0.9253568596352103,0.003671205240763896,0.925357 +/- 0.003671,9.836065573770492,0.0,9.836066 +/- 0.000000,5
BBBP,classification,flexibility,20.0,0.9260606661379857,0.0038019567090778993,0.926061 +/- 0.003802,20.0,0.0,20.000000 +/- 0.000000,5
BBBP,classification,flexibility,40.0,0.9247323552735924,0.0035310330279307283,0.924732 +/- 0.003531,40.0,0.0,40.000000 +/- 0.000000,5
BBBP,classification,flexibility,60.0,0.9250297383029341,0.00307992099511576,0.925030 +/- 0.003080,60.0,0.0,60.000000 +/- 0.000000,5
BBBP,classification,flexibility,80.0,0.927577319587629,0.0024129802263520117,0.927577 +/- 0.002413,80.0,0.0,80.000000 +/- 0.000000,5
BBBP,classification,flexibility,100.0,0.9298473433782712,0.00231937580791994,0.929847 +/- 0.002319,100.0,0.0,100.000000 +/- 0.000000,5
BBBP,classification,old_voi,0.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,old_voi,5.0,0.9243953211736718,0.002950709752668782,0.924395 +/- 0.002951,4.918032786885246,0.0,4.918033 +/- 0.000000,5
BBBP,classification,old_voi,10.0,0.9248116574147502,0.004490057014244106,0.924812 +/- 0.004490,9.836065573770492,0.0,9.836066 +/- 0.000000,5
BBBP,classification,old_voi,20.0,0.9255551149881047,0.002448273004605143,0.925555 +/- 0.002448,20.0,0.0,20.000000 +/- 0.000000,5
BBBP,classification,old_voi,40.0,0.9277755749405234,0.0033324301088282385,0.927776 +/- 0.003332,40.0,0.0,40.000000 +/- 0.000000,5
BBBP,classification,old_voi,60.0,0.928370340999207,0.003501663247289549,0.928370 +/- 0.003502,60.0,0.0,60.000000 +/- 0.000000,5
BBBP,classification,old_voi,80.0,0.9283009516256939,0.00310802811756337,0.928301 +/- 0.003108,80.0,0.0,80.000000 +/- 0.000000,5
BBBP,classification,old_voi,100.0,0.9298473433782712,0.00231937580791994,0.929847 +/- 0.002319,100.0,0.0,100.000000 +/- 0.000000,5
BBBP,classification,oracle,0.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,oracle,5.0,0.9337827121332276,0.003231623066134004,0.933783 +/- 0.003232,4.918032786885246,0.0,4.918033 +/- 0.000000,5
BBBP,classification,oracle,10.0,0.9367961934972244,0.003289246906163186,0.936796 +/- 0.003289,9.836065573770492,0.0,9.836066 +/- 0.000000,5
BBBP,classification,oracle,20.0,0.9417129262490087,0.0037867550884458376,0.941713 +/- 0.003787,20.0,0.0,20.000000 +/- 0.000000,5
BBBP,classification,oracle,40.0,0.9449742268041238,0.0030632537161255006,0.944974 +/- 0.003063,40.0,0.0,40.000000 +/- 0.000000,5
BBBP,classification,oracle,60.0,0.9455194290245836,0.0029508429555287433,0.945519 +/- 0.002951,60.0,0.0,60.000000 +/- 0.000000,5
BBBP,classification,oracle,80.0,0.944964314036479,0.003095990782957367,0.944964 +/- 0.003096,80.0,0.0,80.000000 +/- 0.000000,5
