task,task_type,method,method_group,primary_metric,primary_mean,primary_std,n_seeds,source,call_rate,selection_family,selection_note,baseline_aware_mean,baseline_aware_std
BACE,classification,Chemprop_dmpnn_rdkit2d_balanced,Chemprop D-MPNN,AUROC,0.8278402537485583,0.0062089866581295,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/chemprop_cls_small_5seed_e30/method_summary.csv,,
BBBP,classification,Chemprop_dmpnn,Chemprop D-MPNN,AUROC,0.911379857256146,0.0037950497224401,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/chemprop_cls_small_5seed_e30/method_summary.csv,,
BBBP,classification,Chemprop_dmpnn_rdkit2d,Chemprop D-MPNN,AUROC,0.9189928628072958,0.0032976308153826,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/chemprop_cls_small_5seed_e30/method_summary.csv,,
BBBP,classification,Chemprop_dmpnn_rdkit2d_balanced,Chemprop D-MPNN,AUROC,0.9218279143536876,0.0071009189241019,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/chemprop_cls_small_5seed_e30/method_summary.csv,,
HIV,classification,Chemprop_dmpnn,Chemprop D-MPNN,AUROC,0.686377412215785,0.0115881177460442,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/chemprop_hiv_5seed_e30/method_summary.csv,,
HIV,classification,Chemprop_dmpnn_rdkit2d,Chemprop D-MPNN,AUROC,0.7020876503009543,0.0200007027401264,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/chemprop_hiv_5seed_e30/method_summary.csv,,
HIV,classification,Chemprop_dmpnn_rdkit2d_balanced,Chemprop D-MPNN,AUROC,0.7246091822782312,0.0145730354893436,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/chemprop_hiv_balanced_5seed_e30/method_summary.csv,,
ESOL,regression,ExtraTrees_ECFPDesc,candidate member,MAE,0.8499032669322684,0.006263728795561,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_lipo_esol_5seed/method_summary.csv,,
ESOL,regression,KRR_RBF_Desc,candidate member,MAE,0.9225162852780228,0.0,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_lipo_esol_5seed/method_summary.csv,,
ESOL,regression,RF_ECFPDesc,candidate member,MAE,0.8378879931701757,0.0072217871137167,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_lipo_esol_5seed/method_summary.csv,,
ESOL,regression,Ridge_ECFPDesc,candidate member,MAE,0.6014267212974123,0.0,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_lipo_esol_5seed/method_summary.csv,,
ESOL,regression,SVR_RBF_Desc,candidate member,MAE,0.7169190296303157,0.0,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_lipo_esol_5seed/method_summary.csv,,
ESOL,regression,XGB_ECFPDesc,candidate member,MAE,0.6021730071580743,0.0120802663558352,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_lipo_esol_5seed/method_summary.csv,,
ESOL,regression,chemprop_dmpnn,candidate member,MAE,0.900850892893366,0.0094211458251368,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_lipo_esol_5seed/method_summary.csv,,
ESOL,regression,chemprop_dmpnn_rdkit2d,candidate member,MAE,0.6503819279610085,0.0173538608820112,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_lipo_esol_5seed/method_summary.csv,,
ESOL,regression,val_best_single,validation-gated consensus,MAE,0.6503819279610085,0.0173538608820112,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_lipo_esol_5seed/method_summary.csv,,
ESOL,regression,val_greedy_ensemble,validation-gated consensus,MAE,0.6438579045079638,0.0184229599131969,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_lipo_esol_5seed/method_summary.csv,,
Lipophilicity,regression,ExtraTrees_ECFPDesc,candidate member,MAE,0.7385261261707988,0.0018413273126376,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_lipo_esol_5seed/method_summary.csv,,
Lipophilicity,regression,KRR_RBF_Desc,candidate member,MAE,0.7918020749954059,0.0,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_lipo_esol_5seed/method_summary.csv,,
Lipophilicity,regression,RF_ECFPDesc,candidate member,MAE,0.7311743044956222,0.0018024988231964,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_lipo_esol_5seed/method_summary.csv,,
Lipophilicity,regression,Ridge_ECFPDesc,candidate member,MAE,0.670744766713174,0.0,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_lipo_esol_5seed/method_summary.csv,,
Lipophilicity,regression,SVR_RBF_Desc,candidate member,MAE,0.785349899339517,0.0,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_lipo_esol_5seed/method_summary.csv,,
Lipophilicity,regression,XGB_ECFPDesc,candidate member,MAE,0.5697293370198351,0.0044963056214412,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_lipo_esol_5seed/method_summary.csv,,
Lipophilicity,regression,chemprop_dmpnn,candidate member,MAE,0.5172680451741998,0.004593867711174,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_lipo_esol_5seed/method_summary.csv,,
Lipophilicity,regression,chemprop_dmpnn_rdkit2d,candidate member,MAE,0.505826920630419,0.0060951923956079,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_lipo_esol_5seed/method_summary.csv,,
Lipophilicity,regression,val_best_single,validation-gated consensus,MAE,0.5074541618125568,0.0091390503125803,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_lipo_esol_5seed/method_summary.csv,,
Lipophilicity,regression,val_greedy_ensemble,validation-gated consensus,MAE,0.502152997280175,0.0067692451116131,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_lipo_esol_5seed/method_summary.csv,,
BACE,classification,ExtraTrees_ECFPDesc,candidate member,AUROC,0.8537197231833911,0.0022102362968575,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_bace_bbbp_5seed/method_summary.csv,,
BACE,classification,LR_ECFPDesc,candidate member,AUROC,0.8656286043829295,0.0,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_bace_bbbp_5seed/method_summary.csv,,
BACE,classification,RF_ECFPDesc,candidate member,AUROC,0.8573096885813151,0.0028873244617897,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_bace_bbbp_5seed/method_summary.csv,,
BACE,classification,XGB_ECFPDesc,candidate member,AUROC,0.8598183391003461,0.0024698203925061,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_bace_bbbp_5seed/method_summary.csv,,
BACE,classification,chemprop_dmpnn,candidate member,AUROC,0.828647635524798,0.0063674258007421,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_bace_bbbp_5seed/method_summary.csv,,
BACE,classification,chemprop_dmpnn_rdkit2d,candidate member,AUROC,0.8292099192618224,0.0010676763887874,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_bace_bbbp_5seed/method_summary.csv,,
BACE,classification,chemprop_dmpnn_rdkit2d_balanced,candidate member,AUROC,0.8278402537485583,0.0062089866581295,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_bace_bbbp_5seed/method_summary.csv,,
