router,router_label,budget,coverage_mean,harmful_rate_mean,beneficial_rate_mean,selected_mean_utility_mean,selected_sum_utility_mean,selected_n_mean,n_pairs
flexibility,Flexibility,60.0,60.02812510609519,0.4986202959238942,0.5013797040761058,-0.12827155642965385,-26.603223715573673,421.3333333333333,30
old_voi,Old VOI,60.0,60.02812510609519,0.47923328167338153,0.5207667183266185,-0.09738850516144525,-20.183723203154432,421.3333333333333,30
R7_oof_selected_top,R7 Top-Budget,60.0,60.02812510609519,0.4845819205456808,0.5154180794543193,-0.082800505073293,-18.34272138313878,421.3333333333333,30
R8_oof_selected_gated,R8 OOF Gated,60.0,19.84104917292045,0.42597377146334214,0.5073595618699912,-0.07261004612441338,-4.344843726304991,138.8,30
R9_oof_safe_guardrail,R9 Utility-LCB,60.0,4.771885903615669,0.16612546648753543,0.13387453351246453,-0.02906207276202282,0.18695918697823302,14.4,30
oracle,Oracle,60.0,60.02812510609519,0.19982021291418275,0.8001797870858173,0.06722049248209251,22.972075867801653,421.3333333333333,30
never_3d,Never-3D,80.0,0.0,0.0,0.0,,0.0,0.0,30
always_abstain,Always-Abstain,80.0,0.0,0.0,0.0,,0.0,0.0,30
random,Random,80.0,80.01015085022662,0.4976448326450228,0.5023551673549772,-0.10175443148343387,-28.289433729841452,561.8333333333334,30
uncertainty,Uncertainty,80.0,80.01015085022662,0.4869341845539727,0.5130658154460274,-0.08504482867176243,-25.27530450374179,561.8333333333334,30
flexibility,Flexibility,80.0,80.01015085022662,0.4917522837527761,0.5082477162472239,-0.1008614730036673,-28.290214469262953,561.8333333333334,30
old_voi,Old VOI,80.0,80.01015085022662,0.490419168685522,0.5095808313144781,-0.09646619939949927,-26.465533082133923,561.8333333333334,30
R7_oof_selected_top,R7 Top-Budget,80.0,80.01015085022662,0.48882174266585354,0.5111782573341465,-0.09471702324217307,-27.179972649851372,561.8333333333334,30
R8_oof_selected_gated,R8 OOF Gated,80.0,20.530941365960025,0.42518770158840374,0.5081456317449295,-0.07113566382318177,-4.1902319181118655,140.96666666666667,30
R9_oof_safe_guardrail,R9 Utility-LCB,80.0,4.771885903615669,0.16612546648753543,0.13387453351246453,-0.02906207276202282,0.18695918697823302,14.4,30
oracle,Oracle,80.0,80.01015085022662,0.37170640952849293,0.6282935904715071,0.00848078486671223,9.990774853294514,561.8333333333334,30
never_3d,Never-3D,100.0,0.0,0.0,0.0,,0.0,0.0,30
always_abstain,Always-Abstain,100.0,0.0,0.0,0.0,,0.0,0.0,30
random,Random,100.0,100.0,0.4973718256411956,0.5026281743588045,-0.09789898247741612,-34.46652580436079,702.1666666666666,30
uncertainty,Uncertainty,100.0,100.0,0.4973718256411956,0.5026281743588045,-0.09789898247741612,-34.46652580436079,702.1666666666666,30
flexibility,Flexibility,100.0,100.0,0.4973718256411956,0.5026281743588045,-0.09789898247741612,-34.46652580436079,702.1666666666666,30
old_voi,Old VOI,100.0,100.0,0.4973718256411956,0.5026281743588045,-0.09789898247741612,-34.46652580436079,702.1666666666666,30
R7_oof_selected_top,R7 Top-Budget,100.0,100.0,0.4973718256411956,0.5026281743588045,-0.09789898247741612,-34.46652580436079,702.1666666666666,30
R8_oof_selected_gated,R8 OOF Gated,100.0,21.20321027352305,0.4255385787813862,0.5077947545519471,-0.07097885788405454,-4.197268739232728,142.56666666666666,30
R9_oof_safe_guardrail,R9 Utility-LCB,100.0,4.771885903615669,0.16612546648753543,0.13387453351246453,-0.02906207276202282,0.18695918697823302,14.4,30
oracle,Oracle,100.0,100.0,0.4973718256411956,0.5026281743588045,-0.09789898247741612,-34.46652580436079,702.1666666666666,30
