task,task_type,router,budget,primary_value_mean,primary_value_std,primary_value_mean_std,call_rate_mean,call_rate_std,call_rate_mean_std,n_seeds
BBBP,classification,uncertainty,5.0,0.9245935765265662,0.003730494646798724,0.924594 +/- 0.003730,4.918032786885246,0.0,4.918033 +/- 0.000000,5
BBBP,classification,uncertainty,10.0,0.924494448850119,0.004164141198261064,0.924494 +/- 0.004164,9.836065573770492,0.0,9.836066 +/- 0.000000,5
BBBP,classification,uncertainty,20.0,0.926080491673275,0.00405995306464447,0.926080 +/- 0.004060,20.0,0.0,20.000000 +/- 0.000000,5
BBBP,classification,uncertainty,40.0,0.9280927835051547,0.0032790740149143973,0.928093 +/- 0.003279,40.0,0.0,40.000000 +/- 0.000000,5
BBBP,classification,uncertainty,60.0,0.9297482157018241,0.0021229529039629375,0.929748 +/- 0.002123,60.0,0.0,60.000000 +/- 0.000000,5
BBBP,classification,uncertainty,80.0,0.9295499603489293,0.0022761838577672147,0.929550 +/- 0.002276,80.0,0.0,80.000000 +/- 0.000000,5
BBBP,classification,uncertainty,100.0,0.9298473433782712,0.00231937580791994,0.929847 +/- 0.002319,100.0,0.0,100.000000 +/- 0.000000,5
ESOL,regression,R7_oof_selected_top,0.0,0.6019217134369322,0.011546324794926406,0.601922 +/- 0.011546,0.0,0.0,0.000000 +/- 0.000000,5
ESOL,regression,R7_oof_selected_top,5.0,0.5999991094239678,0.010890525075319603,0.599999 +/- 0.010891,5.179282868525896,0.0,5.179283 +/- 0.000000,5
ESOL,regression,R7_oof_selected_top,10.0,0.5974120713458119,0.012320072490183746,0.597412 +/- 0.012320,9.9601593625498,0.0,9.960159 +/- 0.000000,5
ESOL,regression,R7_oof_selected_top,20.0,0.5983904523560726,0.014029497462463906,0.598390 +/- 0.014029,19.9203187250996,0.0,19.920319 +/- 0.000000,5
ESOL,regression,R7_oof_selected_top,40.0,0.5988301445653239,0.012831804559541127,0.598830 +/- 0.012832,39.8406374501992,0.0,39.840637 +/- 0.000000,5
ESOL,regression,R7_oof_selected_top,60.0,0.598546412494553,0.01442923210434697,0.598546 +/- 0.014429,60.159362549800804,7.105427357601002e-15,60.159363 +/- 0.000000,5
ESOL,regression,R7_oof_selected_top,80.0,0.5971757323534841,0.014655518454969117,0.597176 +/- 0.014656,80.0796812749004,0.0,80.079681 +/- 0.000000,5
ESOL,regression,R7_oof_selected_top,100.0,0.5987428289109491,0.004920617971866437,0.598743 +/- 0.004921,100.0,0.0,100.000000 +/- 0.000000,5
ESOL,regression,R8_oof_selected_gated,0.0,0.6019217134369322,0.011546324794926406,0.601922 +/- 0.011546,0.0,0.0,0.000000 +/- 0.000000,5
ESOL,regression,R8_oof_selected_gated,5.0,0.5995783979446289,0.01088514314438938,0.599578 +/- 0.010885,3.2669322709163344,1.9090276574838148,3.266932 +/- 1.909028,5
ESOL,regression,R8_oof_selected_gated,10.0,0.5976823330153508,0.011940285327930806,0.597682 +/- 0.011940,5.179282868525897,4.055142836653219,5.179283 +/- 4.055143,5
ESOL,regression,R8_oof_selected_gated,20.0,0.5967895807334627,0.01262224858956705,0.596790 +/- 0.012622,7.888446215139441,7.5776850536852525,7.888446 +/- 7.577685,5
